package_name,version,license,repository
@ampproject/remapping,2.3.0,Apache-2.0,https://github.com/ampproject/remapping
@babel/helper-string-parser,7.29.7,MIT,https://github.com/babel/babel
@babel/helper-validator-identifier,7.29.7,MIT,https://github.com/babel/babel
@babel/parser,7.29.8,MIT,https://github.com/babel/babel
@babel/types,7.29.8,MIT,https://github.com/babel/babel
@bcoe/v8-coverage,0.2.3,MIT,https://github.com/demurgos/v8-coverage
@esbuild/darwin-arm64,0.21.5,MIT,https://github.com/evanw/esbuild
@eslint-community/eslint-utils,4.10.1,MIT,https://github.com/eslint-community/eslint-utils
@eslint-community/regexpp,4.12.2,MIT,https://github.com/eslint-community/regexpp
@eslint/eslintrc,2.1.4,MIT,eslint/eslintrc
@eslint/js,8.57.1,MIT,https://github.com/eslint/eslint
@hono/node-server,2.1.0,MIT,https://github.com/honojs/node-server
@humanwhocodes/config-array,0.13.0,Apache-2.0,https://github.com/humanwhocodes/config-array
@humanwhocodes/module-importer,1.0.1,Apache-2.0,https://github.com/humanwhocodes/module-importer
@humanwhocodes/object-schema,2.0.3,BSD-3-Clause,https://github.com/humanwhocodes/object-schema
@isaacs/cliui,8.0.2,ISC,yargs/cliui
@istanbuljs/schema,0.1.6,MIT,https://github.com/istanbuljs/schema
@jest/schemas,29.6.3,MIT,https://github.com/jestjs/jest
@jridgewell/gen-mapping,0.3.13,MIT,https://github.com/jridgewell/sourcemaps
@jridgewell/resolve-uri,3.1.2,MIT,https://github.com/jridgewell/resolve-uri
@jridgewell/sourcemap-codec,1.5.5,MIT,https://github.com/jridgewell/sourcemaps
@jridgewell/trace-mapping,0.3.31,MIT,https://github.com/jridgewell/sourcemaps
@modelcontextprotocol/sdk,1.30.0,MIT,https://github.com/modelcontextprotocol/typescript-sdk
@nodelib/fs.scandir,2.1.5,MIT,https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir
@nodelib/fs.stat,2.0.5,MIT,https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat
@nodelib/fs.walk,1.2.8,MIT,https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk
@pdf-lib/standard-fonts,1.0.0,MIT,https://github.com/Hopding/standard-fonts
@pdf-lib/upng,1.0.1,MIT,https://github.com/Hopding/upng
@pkgjs/parseargs,0.11.0,MIT,git@github.com:pkgjs/parseargs
@rollup/rollup-darwin-arm64,4.62.4,MIT,https://github.com/rollup/rollup
@sinclair/typebox,0.27.12,MIT,https://github.com/sinclairzx81/sinclair-typebox
@types/archiver,7.0.0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/estree,1.0.9,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/node,20.19.43,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/readdir-glob,1.1.5,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@typescript-eslint/eslint-plugin,7.18.0,MIT,https://github.com/typescript-eslint/typescript-eslint
@typescript-eslint/parser,7.18.0,BSD-2-Clause,https://github.com/typescript-eslint/typescript-eslint
@typescript-eslint/scope-manager,7.18.0,MIT,https://github.com/typescript-eslint/typescript-eslint
@typescript-eslint/type-utils,7.18.0,MIT,https://github.com/typescript-eslint/typescript-eslint
@typescript-eslint/types,7.18.0,MIT,https://github.com/typescript-eslint/typescript-eslint
@typescript-eslint/typescript-estree,7.18.0,BSD-2-Clause,https://github.com/typescript-eslint/typescript-eslint
@typescript-eslint/utils,7.18.0,MIT,https://github.com/typescript-eslint/typescript-eslint
